Feature_Name,Data_Type,Missing_Indicator
Q21,float64,0
Q23_30,float64,0
Q29,float64,0
Q210,float64,0
Q312_1,float64,0
Q312_2,float64,0
Q310_1,float64,0
Q310_2,float64,0
Q310_3,float64,0
Q310_4,float64,0
Q310_5,float64,0
Q310_6,float64,0
Q41_1,float64,0
Q41_2,float64,0
Q41_3,float64,0
Q41_4,float64,0
Q41_5,float64,0
Q41_6,float64,0
Q41_7,float64,0
Q41_8,float64,0
Q42_1,float64,0
Q42_2,float64,0
Q42_3,float64,0
Q42_4,float64,0
Q42_5,float64,0
Q42_6,float64,0
Q42_7,float64,0
Q43_1,float64,0
Q43_2,float64,0
Q43_3,float64,0
Q43_4,float64,0
Q43_5,float64,0
Q43_6,float64,0
Q43_7,float64,0
Q43_8,float64,0
Q43_9,float64,0
Q43_10,float64,0
Q43_11,float64,0
Q43_12,float64,0
Q43_13,float64,0
Q43_14,float64,0
Q43_15,float64,0
Q44_1,float64,0
Q44_2,float64,0
Q44_3,float64,0
Q44_4,float64,0
Q44_5,float64,0
Q44_6,float64,0
Q45_1,float64,0
Q45_2,float64,0
Q45_3,float64,0
Q45_4,float64,0
Q51_0_1_RANK,float64,0
Q54_3,float64,0
Q55_1,float64,0
Q55_2,float64,0
Q55_3,float64,0
Q55_4,float64,0
Q55_5,float64,0
Q55_6,float64,0
Q55_7,float64,0
Q56_1,float64,0
Q56_2,float64,0
Q56_3,float64,0
Q56_4,float64,0
Q56_5,float64,0
Q56_6,float64,0
Q56_7,float64,0
Q56_8,float64,0
Q56_9,float64,0
Q57,float64,0
Q58,float64,0
Q59,float64,0
Q510,float64,0
Q511,float64,0
Q512,float64,0
Q513,float64,0
Q514,float64,0
Q61,float64,0
Q62,float64,0
Q63,float64,0
Q64_1,float64,0
Q64_2,float64,0
Q64_3,float64,0
Q65_1,float64,0
Q66_3,float64,0
Q67_2,float64,0
Q67_3,float64,0
Q68,float64,0
Q69_1,float64,0
Q69_2,float64,0
Q69_3,float64,0
Q61_1,float64,0
Q61_2,float64,0
Q61_3,float64,0
Q61_4,float64,0
Q61_5,float64,0
Q61_6,float64,0
Q61_7,float64,0
Q61_8,float64,0
Q61_9,float64,0
Q61_10,float64,0
Q72_1,float64,0
Q72_2,float64,0
Q72_3,float64,0
Q72_4,float64,0
Q72_5,float64,0
Q72_6,float64,0
Q72_7,float64,0
Q72_8,float64,0
Q72_9,float64,0
Q72_10,float64,0
Q63_1,float64,0
Q63_2,float64,0
Q63_3,float64,0
Q63_4,float64,0
Q63_5,float64,0
Q63_6,float64,0
Q63_7,float64,0
Q63_8,float64,0
Q74,float64,0
Q75,float64,0
Q91,float64,0
Q98,float64,0
Q99,float64,0
Q101,float64,0
Q102,float64,0
Q111,float64,0
Q112,float64,0
Q113,float64,0
Q121,float64,0
Q123,float64,0
Q132,float64,0
Q312_1_missing,float64,1
Q312_2_missing,float64,1
Q123_missing,float64,1
